feature,gain
Close_PctChg,89.24614715576172
Low_PctChg,79.6454086303711
VIX_Close,64.11992645263672
VIX_High,59.839935302734375
Volume_Log,49.45231246948242
VIX_RSI_14,47.21107482910156
Brent_BB_Width,33.2374382019043
Open,32.49549102783203
Brent_Open,27.32748794555664
Brent_EMA_100,24.689537048339844
VIX_MACD,24.305091857910156
Brent_SMA_50,24.03954315185547
VIX_SMA_50,23.51556396484375
Open_PctChg,22.939895629882812
BB_Width,21.305707931518555
Brent_RSI_14,21.036592483520508
Brent_SMA_10,20.822145462036133
VIX_BB_Upper,19.537399291992188
MACD,19.209814071655273
Volume,18.83108901977539
MACD_Signal,18.34484100341797
VIX_SMA_100,18.03972625732422
Brent_Open_PctChg,17.744338989257812
VIX_Close_PctChg,15.756649017333984
VIX_MACD_Hist,15.207683563232422
High_PctChg,14.988771438598633
ADX_14,14.022819519042969
Brent_Close_PctChg,12.82029914855957
VIX_EMA_200,12.358470916748047
Brent_Low_PctChg,11.182229995727539
VIX_Open_PctChg,9.578963279724121
Brent_MACD_Hist,9.073238372802734
Brent_BB_Upper,8.461895942687988
VIX_BB_Lower,8.439167976379395
Low,8.436841011047363
Brent_High_PctChg,8.312079429626465
VIX_BB_Width,6.278245449066162
Brent_DI_Minus_14,4.0918426513671875
VIX_DI_Plus_14,3.852170944213867
DI_Plus_14,2.9350318908691406
VIX_Low_PctChg,1.8399124145507812
