,equity
2010-01-04,1000078.5849419846
2010-01-05,1000157.1760595624
2010-01-06,1000235.7733532186
2010-01-07,1000314.3768234384
2010-01-08,1000392.9864707076
2010-01-11,1000471.6022955112
2010-01-12,1000550.2242983348
2010-01-13,1000628.852479664
2010-01-14,1000707.4868399843
2010-01-15,1000786.1273797812
2010-01-19,1000864.7740995404
2010-01-20,1000943.4269997475
2010-01-21,1001022.0860808882
2010-01-22,1001100.7513434482
2010-01-25,1001179.4227879132
2010-01-26,1001258.1004147693
2010-01-27,1001336.784224502
2010-01-28,1001415.4742175974
2010-01-29,1001494.1703945413
2010-02-01,1001572.8727558198
2010-02-02,1001651.5813019187
2010-02-03,1001730.2960333242
2010-02-04,1001809.0169505222
2010-02-05,1001887.744053999
2010-02-08,1001966.4773442405
2010-02-09,1002045.2168217332
2010-02-10,1002123.9624869631
2010-02-11,1002202.7143404166
2010-02-12,1002281.4723825799
2010-02-16,1002360.2366139394
2010-02-17,1002439.0070349814
2010-02-18,1002517.7836461924
2010-02-19,1002596.5664480588
2010-02-22,1002675.3554410671
2010-02-23,1002754.1506257039
2010-02-24,1002832.9520024556
2010-02-25,1002911.759571809
2010-02-26,1002990.5733342506
2010-03-01,1003069.3932902672
2010-03-02,1003148.2194403455
2010-03-03,1003227.0517849723
2010-03-04,1003305.8903246343
2010-03-05,1003384.7350598183
2010-03-07,1003463.5859910112
2010-03-08,1003542.4431187001
2010-03-09,1003621.3064433717
2010-03-10,1003700.1759655131
2010-03-11,1003779.0516856114
2010-03-12,1003857.9336041535
2010-03-14,1003936.8217216266
2010-03-15,1004015.7160385178
2010-03-16,1004094.6165553143
2010-03-17,1004173.5232725034
2010-03-18,1004252.4361905723
2010-03-19,1004331.3553100083
2010-03-21,1004410.2806312987
2010-03-22,1004489.2121549308
2010-03-23,1004568.1498813923
2010-03-24,1004647.0938111703
2010-03-25,1004726.0439447525
2010-03-26,1004805.0002826264
2010-03-28,1004883.9628252795
2010-03-29,1004962.9315731993
2010-03-30,1005041.9065268737
2010-03-31,1005120.8876867903
2010-04-01,1005199.8750534367
2010-04-04,1005278.8686273008
2010-04-05,1005357.8684088703
2010-04-06,1005436.874398633
2010-04-07,1005515.8865970769
2010-04-08,1005594.9050046898
2010-04-09,1005673.9296219597
2010-04-11,1005752.9604493745
2010-04-12,1005831.9974874223
2010-04-13,1005911.0407365912
2010-04-14,1005990.0901973692
2010-04-15,1006069.1458702445
2010-04-16,1006148.2077557052
2010-04-18,1006227.2758542397
2010-04-19,1006306.350166336
2010-04-20,1006385.4306924826
2010-04-21,1006464.5174331678
2010-04-22,1006543.6103888799
2010-04-23,1006622.7095601073
2010-04-25,1006701.8149473385
2010-04-26,1006780.926551062
2010-04-27,1006860.0443717663
2010-04-28,1006939.1684099399
2010-04-29,1007018.2986660714
2010-04-30,1007097.4351406496
2010-05-02,1007176.577834163
2010-05-03,1007255.7267471004
2010-05-04,1007334.8818799505
2010-05-05,1007414.0432332022
2010-05-06,1007493.2108073442
2010-05-07,1007572.3846028654
2010-05-09,1007651.5646202548
2010-05-10,1007730.7508600012
2010-05-11,1007809.9433225937
2010-05-12,1007889.1420085212
2010-05-13,1007968.3469182729
2010-05-14,1008047.5580523378
2010-05-16,1008126.7754112051
2010-05-17,1008205.998995364
2010-05-18,1008285.2288053036
2010-05-19,1008364.4648415132
2010-05-20,1008443.7071044821
2010-05-21,1008522.9555946997
2010-05-23,1008602.2103126553
2010-05-24,1008681.4712588383
2010-05-25,1008760.7384337381
2010-05-26,1008840.0118378444
2010-05-27,1008919.2914716464
2010-05-28,1008998.5773356339
2010-05-30,1009077.8694302965
2010-05-31,1009157.1677561237
2010-06-01,1009236.4723136052
2010-06-02,1009315.7831032308
2010-06-03,1009395.1001254901
2010-06-04,1009474.423380873
2010-06-06,1009553.7528698695
2010-06-07,1009633.0885929691
2010-06-08,1009712.430550662
2010-06-09,1009791.778743438
2010-06-10,1009871.1331717871
2010-06-11,1009950.4938361994
2010-06-13,1010029.8607371649
2010-06-14,1010109.2338751736
2010-06-15,1010188.6132507159
2010-06-16,1010267.9988642818
2010-06-17,1010347.3907163615
2010-06-18,1010426.7888074452
2010-06-20,1010506.1931380234
2010-06-21,1010585.6037085863
2010-06-22,1010665.0205196242
2010-06-23,1010744.4435716277
2010-06-24,1010823.8728650871
2010-06-25,1010903.3084004929
2010-06-27,1010982.7501783356
2010-06-28,1011062.1981991058
2010-06-29,1011141.6524632941
2010-06-30,1011221.1129713912
2010-07-01,1011300.5797238877
2010-07-02,1011380.0527212743
2010-07-04,1011459.5319640419
2010-07-05,1011539.0174526811
2010-07-06,1011618.5091876828
2010-07-07,1011698.0071695378
2010-07-08,1011777.5113987372
2010-07-09,1011857.0218757718
2010-07-11,1011936.5386011327
2010-07-12,1012016.0615753108
2010-07-13,1012095.5907987972
2010-07-14,1012175.126272083
2010-07-15,1012254.6679956594
2010-07-16,1012334.2159700175
2010-07-18,1012413.7701956485
2010-07-19,1012493.3306730438
2010-07-20,1012572.8974026947
2010-07-21,1012652.4703850923
2010-07-22,1012732.0496207281
2010-07-23,1012811.6351100935
2010-07-25,1012891.22685368
2010-07-26,1012970.824851979
2010-07-27,1013050.4291054822
2010-07-28,1013130.0396146809
2010-07-29,1013209.656380067
2010-07-30,1013289.2794021319
2010-08-01,1013368.9086813674
2010-08-02,1013448.5442182652
2010-08-03,1013528.1860133171
2010-08-04,1013607.8340670147
2010-08-05,1013687.48837985
2010-08-06,1013767.148952315
2010-08-08,1013846.8157849014
2010-08-09,1013926.4888781011
2010-08-10,1014006.1682324063
2010-08-11,1014085.8538483089
2010-08-12,1014165.545726301
2010-08-13,1014245.2438668747
2010-08-15,1014324.9482705222
2010-08-16,1014404.6589377356
2010-08-17,1014484.3758690072
2010-08-18,1014564.0990648292
2010-08-19,1014643.8285256939
2010-08-20,1014723.5642520937
2010-08-22,1014803.3062445208
2010-08-23,1014883.0545034679
2010-08-24,1014962.8090294272
2010-08-25,1015042.5698228914
2010-08-26,1015122.3368843528
2010-08-27,1015202.1102143042
2010-08-29,1015281.889813238
2010-08-30,1015361.6756816471
2010-08-31,1015441.467820024
2010-09-01,1015521.2662288614
2010-09-02,1015601.0709086522
2010-09-03,1015680.881859889
2010-09-05,1015760.6990830649
2010-09-06,1015840.5225786726
2010-09-07,1015920.3523472052
2010-09-08,1016000.1883891554
2010-09-09,1016080.0307050163
2010-09-10,1016159.879295281
2010-09-12,1016239.7341604426
2010-09-13,1016319.5953009941
2010-09-14,1016399.4627174287
2010-09-15,1016479.3364102396
2010-09-16,1016559.21637992
2010-09-17,1016639.1026269632
2010-09-19,1016718.9951518624
2010-09-20,1016798.893955111
2010-09-21,1016878.7990372026
2010-09-22,1016958.7103986304
2010-09-23,1017038.6280398879
2010-09-24,1017118.5519614685
2010-09-26,1017198.4821638659
2010-09-27,1017278.4186475737
2010-09-28,1017358.3614130854
2010-09-29,1017438.3104608946
2010-09-30,1016806.5012406267
2010-10-01,1021667.8374810284
2010-10-03,1021667.8374810284
2010-10-04,1010577.5400675148
2010-10-05,1035792.8694744736
2010-10-06,1034355.877126266
2010-10-07,1034431.6577614374
2010-10-08,1041873.6469873711
2010-10-10,1041873.6469873711
2010-10-11,1041409.503579702
2010-10-12,1044151.3763935446
2010-10-13,1054557.1851358344
2010-10-14,1055198.8108807574
2010-10-15,1064949.483880701
2010-10-17,1064949.483880701
2010-10-18,1063986.8329097992
2010-10-19,1046140.9776149312
2010-10-20,1059377.2343910797
2010-10-21,1057952.4969474098
2010-10-22,1062923.554055566
2010-10-24,1062923.554055566
2010-10-25,1067306.2106441776
2010-10-26,1066407.7386340345
2010-10-27,1062583.4243991994
2010-10-28,1068871.558741157
2010-10-29,1067291.4136993662
2010-10-31,1066456.4215480806
2010-11-01,1068230.6174151525
2010-11-02,1076989.847539056
2010-11-03,1075235.5471643987
2010-11-04,1083805.3988259668
2010-11-05,1082665.200538656
2010-11-07,1087108.4394478307
2010-11-08,1087169.2120562624
2010-11-09,1088470.062402146
2010-11-10,1090752.2145954543
2010-11-11,1087214.697856654
2010-11-12,1080438.5569425272
2010-11-14,1080438.5569425272
2010-11-15,1079320.5415908226
2010-11-16,1069766.0487239223
2010-11-17,1071505.1717691722
2010-11-18,1080638.894912445
2010-11-19,1080926.395046365
2010-11-21,1072480.0556445115
2010-11-22,1074574.5236874842
2010-11-23,1059163.6341035466
2010-11-24,1067917.2466144687
2010-11-26,1062597.7167123305
2010-11-28,1065039.4928109199
2010-11-29,1066379.3971146445
2010-11-30,1061369.7534771091
2010-12-01,1070799.4916418726
2010-12-02,1077805.9708319115
2010-12-03,1080102.1354274699
2010-12-05,1083528.3136719733
2010-12-06,1081339.0041383207
2010-12-07,1081530.808942494
2010-12-08,1085840.8438819377
2010-12-09,1086314.4040806757
2010-12-10,1088750.8301452994
2010-12-12,1088751.064668377
2010-12-13,1101404.39096632
2010-12-14,1102302.7997162095
2010-12-15,1100844.792916247
2010-12-16,1104172.753236805
2010-12-17,1103666.115869881
2010-12-19,1108622.2701613498
2010-12-20,1116973.66452521
2010-12-21,1125209.265204492
2010-12-22,1127760.9025974702
2010-12-23,1126751.335983259
2010-12-26,1119263.8072797633
2010-12-27,1122496.50480013
2010-12-28,1125868.6173823373
2010-12-29,1129453.414702655
2010-12-30,1128917.5899499848
2010-12-31,1129165.2715293234
2011-01-02,1135260.0157998055
2011-01-03,1142266.0044853052
2011-01-04,1140921.2495329394
2011-01-05,1142391.4965316274
2011-01-06,1141417.4598254173
2011-01-07,1139640.3418177208
2011-01-09,1134264.6331636566
2011-01-10,1128584.7496967902
2011-01-11,1133569.1379660151
2011-01-12,1139645.178357713
2011-01-13,1139465.1697139486
2011-01-14,1142825.694778787
2011-01-16,1146988.0307509352
2011-01-17,1134787.1162950264
2011-01-18,1130542.6412083805
2011-01-19,1123868.5610693255
2011-01-20,1119863.75742427
2011-01-21,1118311.9085627263
2011-01-23,1120021.4996447065
2011-01-24,1129511.5122506935
2011-01-25,1127452.14229013
2011-01-26,1128124.6803521772
2011-01-27,1130306.0549209262
2011-01-28,1117760.8754178481
2011-01-30,1102153.36622965
2011-01-31,1099686.627871533
2011-02-01,1109124.1069048322
2011-02-02,1121266.893107695
2011-02-03,1121741.2162260995
2011-02-04,1123077.0433393777
2011-02-06,1128350.340166109
2011-02-07,1131616.3915224967
2011-02-08,1131396.3970167264
2011-02-09,1130322.5218760055
2011-02-10,1129248.7833803196
2011-02-11,1132059.523592927
2011-02-13,1128316.9099155127
2011-02-14,1127223.5553130065
2011-02-15,1123010.3622000068
2011-02-16,1119063.1331957285
2011-02-17,1120150.6457892733
2011-02-18,1120397.9693622002
2011-02-20,1104351.2487969454
2011-02-21,1102820.546391088
2011-02-22,1085776.6772141499
2011-02-23,1087698.8057477865
2011-02-24,1089167.1558806635
2011-02-25,1095915.7438093603
2011-02-27,1069322.5652874173
2011-02-28,1074489.1688126049
2011-03-01,1043021.5317302344
2011-03-02,1018788.286599993
2011-03-03,1026710.1035340826
2011-03-04,1024258.668059156
2011-03-06,1059089.665518395
2011-03-07,1060055.14085786
2011-03-08,1086616.7079210982
2011-03-09,1082569.054096017
2011-03-10,1072896.5232738461
2011-03-11,1075310.295799848
2011-03-13,1091143.5949248576
2011-03-14,1077086.752839847
2011-03-15,1059254.9959596626
2011-03-16,1047520.935910854
2011-03-17,1055041.7580177628
2011-03-18,1057062.3735169186
2011-03-20,1079641.9574267864
2011-03-21,1089343.6420007625
2011-03-22,1083809.4470976861
2011-03-23,1088515.7036229097
2011-03-24,1095665.7182766935
2011-03-25,1094481.9347714786
2011-03-27,1104615.4221842252
2011-03-28,1102394.325360268
2011-03-29,1105895.8271060642
2011-03-30,1113303.6964176893
2011-03-31,1113494.7085972272
2011-04-01,1116136.1746283649
2011-04-03,1119067.6966716717
2011-04-04,1119113.3253648304
2011-04-05,1113792.574845861
2011-04-06,1116837.0694962838
2011-04-07,1115586.9849225078
2011-04-08,1115909.0473632219
2011-04-10,1115913.9678101626
2011-04-11,1109682.9037722037
2011-04-12,1106492.7644445952
2011-04-13,1110089.9476252126
2011-04-14,1110347.875621744
2011-04-15,1109757.9854311785
2011-04-17,1103230.5611501934
2011-04-18,1096154.55470229
2011-04-19,1097545.840064189
2011-04-20,1097060.2741735615
2011-04-21,1100434.3670035168
2011-04-24,1091938.5725345423
2011-04-25,1100252.93800561
2011-04-26,1107548.9183933926
2011-04-27,1116190.825663214
2011-04-28,1116405.4447860518
2011-04-29,1117296.1509372115
2011-05-02,1110352.8955020767
2011-05-03,1104463.1103507462
2011-05-04,1101174.7417809952
2011-05-05,1095226.6101538166
2011-05-06,1097250.9245702347
2011-05-08,1092928.3520032316
2011-05-09,1095971.5391206688
2011-05-10,1102311.6905028631
2011-05-11,1095562.3468566164
2011-05-12,1098115.5751360406
2011-05-13,1090803.668041842
2011-05-15,1087394.658528881
2011-05-16,1080994.2149862433
2011-05-17,1082386.065875019
2011-05-18,1087712.9916097617
2011-05-19,1089443.5968574446
2011-05-20,1084081.5465840695
2011-05-22,1090801.6728234794
2011-05-23,1079076.7730629514
2011-05-24,1079544.5590361312
2011-05-25,1081146.458288927
2011-05-26,1084994.2942398528
2011-05-27,1088248.1820261055
2011-05-29,1089879.1371453092
2011-05-30,1087383.6675127049
2011-05-31,1106169.5674957905
2011-06-01,1100896.3712503188
2011-06-02,1102564.5096516449
2011-06-03,1098229.4887281093
2011-06-05,1081883.5453434396
2011-06-06,1078888.083591701
2011-06-07,1076105.4956417738
2011-06-08,1066460.9790675265
2011-06-09,1069324.0185023777
2011-06-10,1059709.6729829765
2011-06-12,1057143.8558448285
2011-06-13,1063206.1338047301
2011-06-14,1068242.1664638617
2011-06-15,1056215.8838084876
2011-06-16,1053609.2125477432
2011-06-17,1054570.9072385042
2011-06-19,1045775.8083819976
2011-06-20,1043573.7587859149
2011-06-21,1059529.7442940003
2011-06-22,1054339.9001000521
2011-06-23,1055264.582358487
2011-06-24,1048536.2975895479
2011-06-26,1051102.4581776592
2011-06-27,1056633.3291893925
2011-06-28,1067439.936600869
2011-06-29,1072818.4051210964
2011-06-30,1079954.1132551762
2011-07-01,1086774.2220731727
2011-07-03,1094695.3371129
2011-07-04,1092090.100008842
2011-07-05,1093057.053993678
2011-07-06,1092020.0711037107
2011-07-07,1098346.5796886394
2011-07-08,1094669.7555603038
2011-07-10,1097486.6760672394
2011-07-11,1084610.6983144502
2011-07-12,1074306.9071838341
2011-07-13,1081248.1742697498
2011-07-14,1075863.6754086614
2011-07-15,1080935.96906867
2011-07-17,1079340.294811679
2011-07-18,1071814.419743374
2011-07-19,1083722.521532981
2011-07-20,1088075.865247484
2011-07-21,1094394.3456325927
2011-07-22,1097945.644269648
2011-07-24,1095309.5568561566
2011-07-25,1089379.384306671
2011-07-26,1094254.2400228637
2011-07-27,1078891.0199664077
2011-07-28,1078964.1940684193
2011-07-29,1077815.6876379857
2011-07-31,1070377.1332009225
2011-08-01,1070840.723761485
2011-08-02,1055688.9114560965
2011-08-03,1057257.6924680106
2011-08-04,1029512.4036521546
2011-08-05,1030030.6730699488
2011-08-07,1010883.0949245851
2011-08-08,974203.3901554341
2011-08-09,993071.4193686572
2011-08-10,975570.0709353554
2011-08-11,995725.7523434806
2011-08-12,1000471.9189826307
2011-08-14,1007582.9929457328
2011-08-15,1017927.4135068619
2011-08-16,1010333.0151253279
2011-08-17,1012011.4366527918
2011-08-18,988946.768287315
2011-08-19,981337.4720994254
2011-08-21,972313.5101458804
2011-08-22,975831.2796754697
2011-08-23,994860.7733643708
2011-08-24,1001128.4104966074
2011-08-25,992556.4926529555
2011-08-26,1001627.7789298419
2011-08-28,1001627.9544946761
2011-08-29,1014179.8896909407
2011-08-30,1015206.6889426948
2011-08-31,1018930.7403343744
2011-09-01,1015115.8287734615
2011-09-02,1004329.3381271577
2011-09-04,1007110.7114844674
2011-09-05,1003446.0699360033
2011-09-06,996993.6812333469
2011-09-07,1011153.1243193734
2011-09-08,1006458.40635459
2011-09-09,994033.6237003477
2011-09-11,997829.662779279
2011-09-12,993475.841499245
2011-09-13,999084.135908873
2011-09-14,1003202.031553226
2011-09-15,1010816.8844504643
2011-09-16,1012794.0728685331
2011-09-18,1017407.5817188717
2011-09-19,1009540.0581578786
2011-09-20,1011089.3618335401
2011-09-21,1000009.5303491213
2011-09-22,983770.6879499466
2011-09-23,988089.247005933
2011-09-25,984424.6054574691
2011-09-26,990126.1027511181
2011-09-27,999064.2320438931
2011-09-28,990539.8825795858
2011-09-29,990880.2500040771
2011-09-30,978186.7009716202
2011-10-02,980794.2621936293
2011-10-03,964502.7758104914
2011-10-04,967019.0117008322
2011-10-05,979903.1403708616
2011-10-06,988881.4006359559
2011-10-07,985780.0546473062
2011-10-09,996513.9625369033
2011-10-10,1021260.4739847523
2011-10-11,1016610.6357116324
2011-10-12,1023602.0442019543
2011-10-13,1025393.6703580967
2011-10-14,1033342.8692709472
2011-10-16,1038679.7150807129
2011-10-17,1029749.9379446723
2011-10-18,1037756.6778534057
2011-10-19,1026249.5401514232
2011-10-20,1024678.6046089284
2011-10-21,1032719.5744277496
2011-10-23,1018009.2747372322
2011-10-24,1023454.312100963
2011-10-25,1017141.4191248169
2011-10-26,1019159.190573569
2011-10-27,1037125.5558743541
2011-10-28,1035786.4395576762
2011-10-30,1034171.8175426533
2011-10-31,1018912.8343822284
2011-11-01,997982.5381671514
2011-11-02,1011447.4812466172
2011-11-03,1020868.7663836482
2011-11-04,1017499.5040388324
2011-11-06,1015482.3163640822
2011-11-07,1018360.9132768025
2011-11-08,1022998.1326445289
2011-11-09,1004368.2788985799
2011-11-10,1008111.6388800943
2011-11-11,1016894.810887889
2011-11-13,1014877.6232131388
2011-11-14,1008395.6110446258
2011-11-15,1012836.8428621792
2011-11-16,1003318.044557228
2011-11-17,995172.6063138861
2011-11-18,993474.7855308345
2011-11-20,992466.1916934594
2011-11-21,982174.3907312063
2011-11-22,978629.1597728995
2011-11-23,967494.8458144099
2011-11-24,969512.0334891602
2011-11-25,967220.1939101527
2011-11-27,963389.3978301871
2011-11-28,982049.4212348526
2011-11-29,981087.0746230797
2011-11-30,998729.4692439743
2011-12-01,998682.1943118111
2011-12-02,998297.9135183903
2011-12-04,1003243.7778275164
2011-12-05,1008471.5569333192
2011-12-06,1007508.1338814464
2011-12-07,1007339.8045408691
2011-12-08,997779.223578956
2011-12-09,1005513.9026602281
2011-12-11,1006429.7519535022
2011-12-12,998648.8411709336
2011-12-13,991633.4916499975
2011-12-14,986870.9222086897
2011-12-15,986747.1095179672
2011-12-16,988020.5062209859
2011-12-19,983584.4219661154
2011-12-20,995762.7000313259
2011-12-21,993227.9934379599
2011-12-22,999261.066952743
2011-12-23,1002257.6467856154
2011-12-25,1007752.9459618496
2011-12-26,1008791.0942576444
2011-12-27,1005451.2042399849
2011-12-28,1002063.2074322202
2011-12-29,1006283.3687676892
2011-12-30,1006490.5156376273
2012-01-01,1003657.9190989877
2012-01-02,1005490.6191808593
2012-01-03,1014574.4557561076
2012-01-04,1015135.955908088
2012-01-05,1014954.2841264685
2012-01-06,1013447.345200218
2012-01-08,1026382.0843188858
2012-01-09,1025382.5466172476
2012-01-10,1037838.7779349529
2012-01-11,1037917.8339881031
2012-01-12,1039718.4812502342
2012-01-13,1036999.6169231271
2012-01-15,1036829.3161483924
2012-01-16,1034082.4766928595
2012-01-17,1032378.5314714214
2012-01-18,1039322.4474386206
2012-01-19,1043330.5424103368
2012-01-20,1043192.8983907852
2012-01-22,1045110.9900720714
2012-01-23,1045602.4522741599
2012-01-24,1044388.2540584906
2012-01-25,1052632.3283953262
2012-01-26,1052097.8605201535
2012-01-27,1053194.6015554254
2012-01-29,1053195.401077897
2012-01-30,1048341.8954140056
2012-01-31,1052635.1273006117
2012-02-01,1058419.4438133591
2012-02-02,1059664.7410052652
2012-02-03,1065871.178108323
2012-02-05,1084939.1859335387
2012-02-06,1091124.9822034505
2012-02-07,1089741.6039668138
2012-02-08,1091722.139221332
2012-02-09,1093685.210735218
2012-02-10,1088505.7779425974
2012-02-12,1089521.7221200168
2012-02-13,1097825.4786274778
2012-02-14,1094224.38709877
2012-02-15,1088925.7106215537
2012-02-16,1094635.8441611556
2012-02-17,1094584.6936428265
2012-02-20,1103667.9376880396
2012-02-21,1111619.7835240262
2012-02-22,1114033.7585292102
2012-02-23,1116631.3177945702
2012-02-24,1118781.6091430264
2012-02-26,1131727.7391312064
2012-02-27,1136813.182296027
2012-02-28,1141057.7859770064
2012-02-29,1141458.759375523
2012-03-01,1147285.358359194
2012-03-02,1145686.9053054443
2012-03-04,1159488.5875470026
2012-03-05,1149887.1109403577
2012-03-06,1139460.8208958856
2012-03-07,1152260.8220412747
2012-03-08,1159177.7120758146
2012-03-09,1159643.6422225072
2012-03-11,1169627.7777062925
2012-03-12,1169084.2629553336
2012-03-13,1172185.2623619786
2012-03-14,1171163.7315662606
2012-03-15,1173345.6878418399
2012-03-16,1174001.5950654845
2012-03-18,1172989.5137858447
2012-03-19,1175120.4809286038
2012-03-20,1170315.6634675516
2012-03-21,1170458.9007735914
2012-03-22,1168162.0178482651
2012-03-23,1169284.6378457178
2012-03-25,1185347.5053205728
2012-03-26,1197788.74145256
2012-03-27,1198866.693242572
2012-03-28,1199225.8029837164
2012-03-29,1196863.104811273
2012-03-30,1197926.1702036085
2012-04-01,1204751.2952437215
2012-04-02,1208885.3347421756
2012-04-03,1199395.6321562673
2012-04-04,1190449.7303163426
2012-04-05,1192085.763313124
2012-04-08,1180375.1123265042
2012-04-09,1173788.204861701
2012-04-10,1159093.4981027201
2012-04-11,1175164.4160970505
2012-04-12,1181887.3390997876
2012-04-13,1174349.921396535
2012-04-15,1150894.2514975206
2012-04-16,1139648.842431251
2012-04-17,1177327.661056731
2012-04-18,1184648.8318115203
2012-04-19,1180631.4296680484
2012-04-20,1181200.3255069177
2012-04-22,1190022.5191025583
2012-04-23,1187342.5605103292
2012-04-24,1189163.5898721437
2012-04-25,1198315.8834080207
2012-04-26,1201074.5490809474
2012-04-27,1203385.1501186888
2012-04-29,1199460.4380213046
2012-04-30,1199316.3420692058
2012-05-01,1198935.7536366577
2012-05-02,1197445.6896194187
2012-05-03,1193794.3208003438
2012-05-04,1183881.000998788
2012-05-06,1173203.408801711
2012-05-07,1173352.6007127867
2012-05-08,1169376.3437427983
2012-05-09,1158606.0964054803
2012-05-10,1159032.3910236263
2012-05-11,1157427.7569568914
2012-05-13,1152806.216484433
2012-05-14,1141250.1742323828
2012-05-15,1133992.3492653915
2012-05-16,1131204.8317979851
2012-05-17,1123315.698210549
2012-05-18,1118786.1878544455
2012-05-20,1108002.9636387397
2012-05-21,1119062.215452987
2012-05-22,1126586.0224990912
2012-05-23,1120872.5849852718
2012-05-24,1118382.9043373947
2012-05-25,1117452.9873790625
2012-05-27,1115330.4500045232
2012-05-28,1121070.7133617431
2012-05-29,1124983.6638680983
2012-05-30,1116048.3203018317
2012-05-31,1114995.9580217076
2012-06-01,1103868.718640885
2012-06-03,1095076.2963032448
2012-06-04,1098876.9144497532
2012-06-05,1101001.1112497912
2012-06-06,1107295.826055189
2012-06-07,1106669.005732172
2012-06-08,1108445.0879995637
2012-06-10,1118571.8481776207
2012-06-11,1114142.3401438734
2012-06-12,1112801.7338185147
2012-06-13,1112971.088025377
2012-06-14,1114811.3864187517
2012-06-15,1120840.1940107096
2012-06-17,1116834.57070186
2012-06-18,1124152.4043312431
2012-06-19,1130790.5130443748
2012-06-20,1136142.598131664
2012-06-21,1123550.229278245
2012-06-22,1127863.1510312962
2012-06-25,1114510.750254674
2012-06-26,1121390.555836835
2012-06-27,1124740.8474761199
2012-06-28,1121713.0710748662
2012-06-29,1137134.9918913753
2012-07-01,1137135.187131499
2012-07-02,1135313.540699064
2012-07-03,1152908.4717927892
2012-07-04,1139490.56506019
2012-07-05,1136432.8080529687
2012-07-06,1130808.6233617603
2012-07-08,1126782.0540556873
2012-07-09,1103972.9976039468
2012-07-10,1095981.2142819213
2012-07-11,1090583.8479754548
2012-07-12,1085797.641187474
2012-07-13,1092550.1918637678
2012-07-15,1100225.5396056594
