,QQQ,VEU,STC,AlRajhi,BonyanREIT,AlinmaHospitalityREIT
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-13,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-14,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-15,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-20,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-27,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-28,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-29,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-03,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-04,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-05,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-08,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-10,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-11,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-12,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-17,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-18,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-19,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-22,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-24,0.0,0.0,0.0,0.0,0.0,0.0
