date,asset,type,price,drawdown
2015-08-24,STC,trailing_stop,12.3608,
2015-08-24,AlRajhi,trailing_stop,10.2359,
2016-01-15,PORTFOLIO,circuit_breaker,,-0.204
2016-02-01,PORTFOLIO,circuit_breaker,,-0.2034
2016-03-01,PORTFOLIO,circuit_breaker,,-0.2002
2016-04-03,PORTFOLIO,circuit_breaker,,-0.2059
2016-05-01,PORTFOLIO,circuit_breaker,,-0.2075
2016-06-01,PORTFOLIO,circuit_breaker,,-0.2068
2016-07-01,PORTFOLIO,circuit_breaker,,-0.2048
2016-08-02,PORTFOLIO,circuit_breaker,,-0.206
2016-09-01,PORTFOLIO,circuit_breaker,,-0.2031
2016-10-02,PORTFOLIO,circuit_breaker,,-0.2024
2016-11-01,PORTFOLIO,circuit_breaker,,-0.2048
2016-12-01,PORTFOLIO,circuit_breaker,,-0.2067
2017-01-01,PORTFOLIO,circuit_breaker,,-0.2069
2017-02-01,PORTFOLIO,circuit_breaker,,-0.2038
2017-03-01,PORTFOLIO,circuit_breaker,,-0.2014
2017-04-03,PORTFOLIO,circuit_breaker,,-0.2011
2020-03-12,QQQ,trailing_stop,170.8867,
2022-05-23,AlRajhi,trailing_stop,54.7761,
2022-06-13,AlRajhi,trailing_stop,55.0175,
2023-08-01,AlRajhi,trailing_stop,46.056,
2023-12-01,AlRajhi,trailing_stop,47.614,
2024-01-01,AlRajhi,trailing_stop,54.0955,
2024-02-01,AlRajhi,trailing_stop,53.5969,
2024-03-03,AlRajhi,trailing_stop,54.6564,
2024-04-01,AlRajhi,trailing_stop,51.4634,
2024-05-01,AlRajhi,trailing_stop,50.4531,
2024-08-01,AlRajhi,trailing_stop,53.6735,
2024-10-03,AlRajhi,trailing_stop,53.8931,
