,portfolio
2008-01-02,1000000.0
2008-01-03,1000078.5849419846
2008-01-04,999912.8049133444
2008-01-07,999390.2702113814
2008-01-08,1000887.1055724997
2008-01-09,1000817.2707695912
2008-01-10,1001998.1879275434
2008-01-11,1002171.3304341387
2008-01-14,1002734.5973770046
2008-01-15,1001870.3549390269
2008-01-16,1001239.6815185618
2008-01-17,1001606.6997855956
2008-01-18,1002166.6094001298
2008-01-22,1002461.1848733496
2008-01-23,1002421.4572886716
2008-01-24,1003124.7319633283
2008-01-25,1003577.9948242747
2008-01-28,1004240.9958376304
2008-01-29,1004020.6506995534
2008-01-30,1004359.8644595317
2008-01-31,1004440.0612844914
2008-02-01,1003624.5823966105
2008-02-04,1003699.7474125557
2008-02-05,1003766.6657354658
2008-02-06,1003856.1814161713
2008-02-07,1003934.9240094237
2008-02-08,1004022.5083812533
2008-02-11,1004112.162058947
2008-02-12,1004171.4873335538
2008-02-13,1004255.3649861814
2008-02-14,1004342.0718249696
2008-02-15,1004416.2882522212
2008-02-19,1004514.8266808572
2008-02-20,1004597.460865783
2008-02-21,1004675.7777427293
2008-02-22,1004764.4860919453
2008-02-25,1004842.8140637686
2008-02-26,1004941.9754713821
2008-02-27,1005023.2390903268
2008-02-28,1005116.8294843871
2008-02-29,1005190.4554034419
2008-03-03,1005281.0327378088
2008-03-04,1005348.5194554883
2008-03-05,1005447.0670213209
2008-03-06,1005527.063227359
2008-03-07,1005603.0925146064
2008-03-10,1005685.3506213041
2008-03-11,1005768.0006770395
2008-03-12,1005853.613609199
2008-03-13,1005934.4562403696
2008-03-14,1006020.122616869
2008-03-17,1006081.5667025298
2008-03-18,1006162.6142158024
2008-03-19,1006235.6376060442
2008-03-20,1006304.7288278664
2008-03-24,1006378.7111687639
2008-03-25,1006453.3371919487
2008-03-26,1006535.9206969984
2008-03-27,1006615.8635809246
2008-03-28,1006689.220699563
2008-03-31,1006774.4155277307
2008-04-01,1006849.1617112523
2008-04-02,1006927.8177373606
2008-04-03,1007006.479877764
2008-04-04,1007087.7417160184
2008-04-07,1007163.8279737425
2008-04-08,1007246.3939869856
2008-04-09,1007325.0838863223
2008-04-10,1007402.6219201266
2008-04-11,1007481.6801902071
2008-04-14,1007564.3684216473
2008-04-15,1007645.2559652278
2008-04-16,1007720.9581227773
2008-04-17,1007799.943395278
2008-04-18,1007876.532571588
2008-04-21,1007959.5486468085
2008-04-22,1008038.5852424323
2008-04-23,1008118.7582107291
2008-04-24,1008197.5034826236
2008-04-25,1008278.8802933211
2008-04-28,1008354.0683865421
2008-04-29,1008436.9254803116
2008-04-30,1008507.8131120715
2008-05-01,1008592.1542150655
2008-05-02,1008670.5335851576
2008-05-05,1008754.0456746618
2008-05-06,1008834.3175227388
2008-05-07,1008912.7934231927
2008-05-08,1008992.160056329
2008-05-09,1009072.8828368942
2008-05-12,1009151.0621807917
2008-05-13,1009289.8103209005
2008-05-14,1009181.2463519247
2008-05-15,1009469.7733727627
2008-05-16,1009853.2998227064
2008-05-19,1009930.9952846473
2008-05-20,1009809.6282659468
2008-05-21,1010073.1841952942
2008-05-22,1010153.2247789855
2008-05-23,1010207.6469555892
2008-05-27,1010086.7555280763
2008-05-28,1010494.5977568511
2008-05-29,1010045.510218472
2008-05-30,1010372.6384644449
2008-06-02,1010644.6499110799
2008-06-03,1010562.4406708321
2008-06-04,1010669.744898942
2008-06-05,1010657.1721237942
2008-06-06,1010616.1294570393
2008-06-09,1010768.0539032855
2008-06-10,1010948.1486272962
2008-06-11,1011298.1289528334
2008-06-12,1011198.7241587046
2008-06-13,1011431.3231071455
2008-06-16,1011515.5568782517
2008-06-17,1011562.934853085
2008-06-18,1011902.6409575926
2008-06-19,1011742.0401490742
2008-06-20,1012058.4214647295
2008-06-23,1012220.7470967647
2008-06-24,1012315.1879818697
2008-06-25,1012404.6826833519
2008-06-26,1012728.4815331916
2008-06-27,1012989.8481434883
2008-06-30,1012803.3846460887
2008-07-01,1013095.1076104165
2008-07-02,1013310.939292321
2008-07-03,1013401.9421949709
2008-07-07,1013327.980651187
2008-07-08,1013024.9855923876
2008-07-09,1013115.9735177946
2008-07-10,1013620.4178712643
2008-07-11,1013960.69308688
2008-07-14,1014157.6034747321
2008-07-15,1014136.0906289701
2008-07-16,1014035.440234268
2008-07-17,1013570.6786873313
2008-07-18,1014015.2259404575
2008-07-21,1013922.4884665807
2008-07-22,1013970.2609542958
2008-07-23,1014183.8303026208
2008-07-24,1014205.8750145468
2008-07-25,1014371.0820387541
2008-07-28,1014464.7960203825
2008-07-29,1014558.5323857605
2008-07-30,1014723.804800232
2008-07-31,1014817.574538148
2008-08-01,1019262.8992559769
2008-08-04,1004086.6408412701
2008-08-05,1014376.2546995298
2008-08-06,1010466.6251729606
2008-08-07,1004948.674382221
2008-08-08,1005504.993622945
2008-08-11,1013781.6627919885
2008-08-12,1005978.3656987608
2008-08-13,1009974.0291835901
