symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,holding_days,exit_reason,strategy
TLT,2008-11-20,2009-01-05,60.6965,69.2496,2795,23869.382129954967,0.14091453664119857,30,stop,trend_following
GLD,2009-02-12,2009-03-03,93.0865,90.1215,1580,-4713.620087499654,-0.031851905279019155,13,stop,trend_following
EEM,2009-05-21,2009-06-04,22.1082,21.5955,5013,-2591.8389311337332,-0.02318842242830177,10,stop,trend_following
VNQ,2009-07-31,2009-08-17,17.7724,18.6668,5838,5199.823688695326,0.05032113353593748,12,stop,trend_following
EFA,2009-07-22,2009-09-09,29.2544,30.8811,5641,9142.087904185075,0.05560398976266012,35,stop,trend_following
EEM,2009-07-21,2009-09-21,24.6431,27.0153,5472,12952.72957285283,0.09626470837876133,44,stop,trend_following
VNQ,2009-09-11,2009-10-01,20.9267,20.8013,5788,-749.7558484410732,-0.00599059821155179,15,stop,trend_following
EEM,2009-09-23,2009-10-28,27.6468,26.746,5909,-5355.048061483871,-0.03258294975488074,26,stop,trend_following
SPY,2009-07-21,2009-11-02,71.0455,76.8786,2474,14394.429633231643,0.08210332330783188,74,stop,trend_following
EFA,2009-09-10,2009-11-03,33.2144,32.4145,5324,-4293.428640695918,-0.02408192574568979,39,stop,trend_following
GLD,2009-09-04,2009-12-04,97.1886,114.4405,1892,32600.563526987065,0.17750960668134863,64,stop,trend_following
DBC,2009-10-20,2010-01-21,20.5798,20.2286,9362,-3325.806271804398,-0.017063566039794975,64,stop,trend_following
EEM,2009-11-17,2010-01-22,29.3672,28.1475,5598,-6860.416448493123,-0.041534773155118776,45,stop,trend_following
EFA,2009-11-17,2010-01-27,34.8045,33.2636,5489,-8495.118262938948,-0.044271729153331996,48,stop,trend_following
SPY,2009-11-12,2010-01-28,81.905,80.9987,2293,-2115.505840994197,-0.011065294458788455,52,stop,trend_following
QQQ,2009-06-02,2010-01-29,31.3061,37.4015,4598,27995.20980299168,0.194704608784257,168,stop,trend_following
VNQ,2009-12-07,2010-02-04,23.0757,22.1159,6020,-5805.349632922218,-0.0415945335828104,41,stop,trend_following
EEM,2010-04-05,2010-04-09,30.8857,30.9685,6186,473.7731806013984,0.0026799892557243243,5,stop,trend_following
VNQ,2010-03-08,2010-04-19,24.5688,26.0295,7576,11027.772990891272,0.05945251621210801,30,stop,trend_following
EFA,2010-04-15,2010-04-22,35.7408,34.3653,5409,-7477.561423646064,-0.03848321397746268,6,stop,trend_following
QQQ,2010-03-10,2010-05-04,40.6583,41.803,4594,5221.040888348749,0.028155084429340116,39,stop,trend_following
EEM,2010-04-12,2010-05-04,30.8928,29.2267,6217,-10395.548210325198,-0.05393175462024191,17,stop,trend_following
SPY,2010-03-12,2010-05-05,86.8001,87.5285,2161,1536.4294830224806,0.008391853555948403,38,stop,trend_following
VNQ,2010-04-23,2010-05-06,27.8334,26.7855,6859,-7225.45338981779,-0.037651310810859484,10,stop,trend_following
GLD,2010-05-03,2010-05-19,115.968,116.7117,1644,1184.4090015894699,0.0064130765347967245,13,stop,trend_following
GLD,2010-06-08,2010-07-06,121.6708,116.3581,1526,-8143.572310363402,-0.04366491310381537,20,stop,trend_following
TLT,2010-06-08,2010-09-03,62.0791,65.655,2992,10660.993247701346,0.05760298498281946,63,stop,trend_following
GLD,2010-09-15,2010-10-21,124.032,129.6563,1508,8443.25843634039,0.04534593652960939,27,stop,trend_following
DBC,2010-10-11,2010-11-12,21.2396,21.5817,8762,2960.1750381542774,0.01610789606193852,25,stop,trend_following
