,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2009-12-25,-0.9245,-0.0048,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.9908
2010-01-01,2.8087,0.0067,1.0000,0.0000,0.0133,1.0000,1.0279,1.0000,1.0004,1.0279,1.0186
2010-01-08,-0.8118,-0.0855,0.0000,0.0000,0.0000,0.0000,1.0277,1.0000,1.0004,1.0277,1.0103
2010-01-15,-3.8983,-0.0603,0.0000,0.0000,0.0000,0.0000,1.0277,1.0000,1.0004,1.0277,0.9709
2010-01-22,-1.6666,0.1477,1.0000,0.0000,0.2955,1.0000,1.0103,1.0000,0.9954,1.0103,0.9547
2010-01-29,-0.6798,0.0491,1.0000,0.0000,0.0982,1.0000,1.0035,1.0000,0.9947,1.0035,0.9483
2010-02-05,1.2938,0.0969,1.0000,0.0000,0.1938,1.0000,1.0165,1.0000,0.9972,1.0165,0.9605
2010-02-12,2.8694,0.0082,1.0000,0.0000,0.0163,1.0000,1.0456,1.0000,0.9976,1.0456,0.9881
2010-02-19,-0.3599,-0.0899,0.0000,0.0000,0.0000,0.0000,1.0454,1.0000,0.9976,1.0454,0.9845
2010-02-26,3.1696,-0.0276,0.0000,0.0000,0.0000,0.0000,1.0454,1.0000,0.9976,1.0454,1.0157
2010-03-05,1.0590,0.0303,1.0000,0.0000,0.0606,1.0000,1.0563,1.0000,0.9982,1.0563,1.0265
2010-03-12,0.8554,0.0356,1.0000,0.0000,0.0711,1.0000,1.0653,1.0000,0.9988,1.0653,1.0353
2010-03-19,0.5259,0.0485,1.0000,0.0000,0.0970,1.0000,1.0709,1.0000,0.9993,1.0709,1.0407
2010-03-26,1.0466,0.0334,1.0000,0.0000,0.0668,1.0000,1.0821,1.0000,1.0000,1.0821,1.0516
2010-04-02,1.4856,0.0126,1.0000,0.0000,0.0252,1.0000,1.0982,1.0000,1.0004,1.0982,1.0672
2010-04-09,-0.1590,-0.0629,0.0000,0.0000,0.0000,0.0000,1.0980,1.0000,1.0004,1.0980,1.0655
2010-04-16,2.0526,0.0299,1.0000,0.0000,0.0597,1.0000,1.1203,1.0000,1.0016,1.1203,1.0874
2010-04-23,-2.4628,0.0152,1.0000,0.0000,0.0303,1.0000,1.0927,1.0000,1.0008,1.0927,1.0606
2010-04-30,-6.3548,0.0556,1.0000,0.0000,0.1112,1.0000,1.0233,1.0000,0.9937,1.0233,0.9932
2010-05-07,2.3639,0.4142,1.0000,1.0000,0.8284,1.0000,1.0475,1.0234,1.0131,1.0475,1.0167
2010-05-14,-4.1970,-0.1618,0.0000,0.0000,0.0000,0.0000,1.0473,1.0232,1.0129,1.0473,0.9740
2010-05-21,0.2384,0.2285,1.0000,0.0000,0.4569,1.0000,1.0495,1.0232,1.0139,1.0495,0.9764
2010-05-28,-2.3316,-0.1319,0.0000,0.0000,0.0000,0.0000,1.0493,1.0232,1.0138,1.0493,0.9536
2010-06-04,2.6775,-0.1820,0.0000,0.0000,0.0000,0.0000,1.0493,1.0232,1.0138,1.0493,0.9791
2010-06-11,2.3536,-0.0322,0.0000,0.0000,0.0000,0.0000,1.0493,1.0232,1.0138,1.0493,1.0022
2010-06-18,-3.4547,-0.0773,0.0000,0.0000,0.0000,0.0000,1.0493,1.0232,1.0138,1.0493,0.9675
2010-06-25,-5.2564,0.0841,1.0000,0.0000,0.1682,1.0000,0.9940,1.0232,1.0048,0.9940,0.9167
2010-07-02,5.6361,0.6467,1.0000,1.0000,1.0000,1.0000,1.0500,1.0807,1.0613,1.0500,0.9684
2010-07-09,-1.2042,-0.0603,0.0000,0.0000,0.0000,0.0000,1.0498,1.0805,1.0611,1.0498,0.9567
2010-07-16,3.5159,0.0019,1.0000,0.0000,0.0038,1.0000,1.0865,1.0805,1.0612,1.0865,0.9903
2010-07-23,-0.1269,-0.1376,0.0000,0.0000,0.0000,0.0000,1.0863,1.0805,1.0612,1.0863,0.9891
2010-07-30,1.9226,0.0846,1.0000,0.0000,0.1692,1.0000,1.1069,1.0805,1.0646,1.1069,1.0081
2010-08-06,-3.6302,-0.1294,0.0000,0.0000,0.0000,0.0000,1.1067,1.0805,1.0646,1.1067,0.9715
2010-08-13,-0.7202,0.2992,1.0000,1.0000,0.5984,1.0000,1.0985,1.0725,1.0599,1.0985,0.9645
2010-08-20,-0.6231,0.2278,1.0000,0.0000,0.4556,1.0000,1.0917,1.0723,1.0568,1.0917,0.9585
2010-08-27,3.7713,0.3624,1.0000,1.0000,0.7248,1.0000,1.1328,1.1125,1.0857,1.1328,0.9946
2010-09-03,0.5320,0.1208,1.0000,0.0000,0.2415,0.0000,1.1389,1.1123,1.0870,1.1326,0.9999
2010-09-10,1.4462,0.0533,1.0000,0.0000,0.1065,0.0000,1.1553,1.1123,1.0886,1.1326,1.0144
2010-09-17,2.0714,-0.1162,0.0000,0.0000,0.0000,0.0000,1.1551,1.1123,1.0886,1.1326,1.0354
2010-09-24,-0.1829,-0.0057,0.0000,0.0000,0.0000,0.0000,1.1551,1.1123,1.0886,1.1326,1.0335
2010-10-01,1.6839,-0.0193,0.0000,0.0000,0.0000,0.0000,1.1551,1.1123,1.0886,1.1326,1.0509
2010-10-08,0.9954,-0.1287,0.0000,0.0000,0.0000,0.0000,1.1551,1.1123,1.0886,1.1326,1.0614
2010-10-15,0.5523,-0.0060,0.0000,0.0000,0.0000,0.0000,1.1551,1.1123,1.0886,1.1326,1.0672
2010-10-22,0.1182,0.0991,1.0000,0.0000,0.1982,0.0000,1.1562,1.1123,1.0888,1.1326,1.0685
